#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -2.00 -3.00 0.0109 0.0000 0.0891 0.0399 0.1319 0.0000 0.0000 0.3010 0.3665 0.0000 0.0207 0.3757 0.6478 0.1235 0.3677 0.0163 0.0024
8.4 -2.00 -2.75 0.0070 0.0000 0.0904 0.0942 0.0933 0.0000 0.0000 0.3544 0.4092 0.0000 0.0449 0.4178 0.9430 0.1711 0.5312 0.0113 0.0017
8.4 -2.00 -2.50 0.0044 0.0000 0.0892 0.1961 0.0624 0.0000 0.0000 0.3990 0.4317 0.0000 0.0764 0.4394 1.1860 0.2062 0.6591 0.0075 0.0011
8.4 -2.00 -2.25 0.0028 0.0000 0.0854 0.3626 0.0404 0.0013 0.0000 0.4325 0.4326 0.0000 0.1161 0.4392 1.3589 0.2273 0.7406 0.0050 0.0000
8.4 -2.00 -2.00 0.0018 0.0016 0.0790 0.6003 0.0259 0.0027 0.0017 0.4561 0.4130 0.0019 0.1718 0.4182 1.4721 0.2366 0.7827 0.0033 0.0000
8.4 -2.00 -1.75 0.0012 0.0030 0.0706 0.8980 0.0167 0.0050 0.0045 0.4716 0.3764 0.0050 0.2583 0.3801 1.5421 0.2360 0.7980 0.0024 0.0000
8.4 -2.00 -1.50 0.0000 0.0054 0.0609 1.2241 0.0111 0.0090 0.0119 0.4805 0.3283 0.0132 0.3993 0.3308 1.5811 0.2267 0.7969 0.0017 0.0000
8.4 -2.00 -1.25 0.0013 0.0097 0.0509 1.5257 0.0111 0.0159 0.0318 0.4828 0.2771 0.0353 0.6283 0.2799 1.5919 0.2092 0.7842 0.0014 0.0000
8.4 -2.00 -1.00 0.0028 0.0170 0.0418 1.7453 0.0164 0.0278 0.0828 0.4790 0.2301 0.0922 0.9882 0.2350 1.5771 0.1853 0.7633 0.0014 0.0000
8.4 -1.80 -4.00 0.0479 0.0000 0.0671 0.0000 0.3014 0.0000 0.0000 0.1197 0.1226 0.0000 0.0000 0.1339 0.0228 0.0047 0.0133 0.0300 0.0049
8.4 -1.80 -3.75 0.0355 0.0000 0.0746 0.0018 0.2565 0.0000 0.0000 0.1626 0.1771 0.0000 0.0000 0.1885 0.0651 0.0132 0.0375 0.0285 0.0045
8.4 -1.80 -3.50 0.0253 0.0000 0.0814 0.0063 0.2103 0.0000 0.0000 0.2136 0.2439 0.0000 0.0021 0.2552 0.1728 0.0346 0.0990 0.0260 0.0040
8.4 -1.80 -3.25 0.0172 0.0000 0.0866 0.0197 0.1653 0.0000 0.0000 0.2678 0.3132 0.0000 0.0108 0.3243 0.3890 0.0753 0.2222 0.0217 0.0033
8.4 -1.80 -3.00 0.0113 0.0000 0.0897 0.0527 0.1234 0.0000 0.0000 0.3215 0.3724 0.0000 0.0355 0.3830 0.6866 0.1275 0.3905 0.0163 0.0025
8.4 -1.80 -2.75 0.0075 0.0000 0.0904 0.1221 0.0877 0.0000 0.0000 0.3703 0.4133 0.0000 0.0797 0.4236 0.9808 0.1750 0.5536 0.0113 0.0017
8.4 -1.80 -2.50 0.0055 0.0011 0.0879 0.2477 0.0620 0.0019 0.0014 0.4103 0.4325 0.0015 0.1410 0.4431 1.2130 0.2088 0.6760 0.0075 0.0012
8.4 -1.80 -2.25 0.0046 0.0025 0.0826 0.4427 0.0455 0.0041 0.0039 0.4394 0.4292 0.0043 0.2229 0.4402 1.3727 0.2283 0.7507 0.0051 0.0000
8.4 -1.80 -2.00 0.0048 0.0049 0.0749 0.7035 0.0377 0.0082 0.0104 0.4590 0.4060 0.0115 0.3403 0.4180 1.4729 0.2356 0.7869 0.0037 0.0000
