#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -2.00 -3.50 0.0246 0.0000 0.0798 0.0045 0.2175 0.0000 0.0000 0.1873 0.2366 0.0000 0.0013 0.2462 0.1594 0.0330 0.0911 0.0255 0.0039
8.4 -2.00 -3.25 0.0165 0.0000 0.0851 0.0146 0.1731 0.0000 0.0000 0.2423 0.3053 0.0000 0.0063 0.3147 0.3621 0.0723 0.2061 0.0213 0.0032
8.4 -2.00 -3.00 0.0107 0.0000 0.0883 0.0404 0.1298 0.0000 0.0000 0.2988 0.3643 0.0000 0.0200 0.3733 0.6529 0.1239 0.3695 0.0159 0.0024
8.4 -2.00 -2.75 0.0066 0.0000 0.0890 0.0966 0.0907 0.0000 0.0000 0.3515 0.4050 0.0000 0.0414 0.4133 0.9500 0.1714 0.5320 0.0108 0.0016
8.4 -2.00 -2.50 0.0040 0.0000 0.0869 0.2049 0.0593 0.0000 0.0000 0.3943 0.4232 0.0000 0.0655 0.4305 1.1909 0.2055 0.6541 0.0068 0.0010
8.4 -2.00 -2.25 0.0024 0.0000 0.0815 0.3891 0.0370 0.0013 0.0000 0.4250 0.4166 0.0000 0.0895 0.4225 1.3547 0.2245 0.7211 0.0042 0.0000
8.4 -2.00 -2.00 0.0014 0.0015 0.0730 0.6629 0.0224 0.0026 0.0013 0.4451 0.3852 0.0014 0.1138 0.3893 1.4490 0.2303 0.7363 0.0025 0.0000
8.4 -2.00 -1.75 0.0000 0.0025 0.0616 1.0157 0.0134 0.0043 0.0027 0.4574 0.3323 0.0030 0.1403 0.3347 1.4866 0.2254 0.7105 0.0015 0.0000
8.4 -2.00 -1.50 0.0000 0.0038 0.0486 1.4116 0.0080 0.0064 0.0057 0.4650 0.2662 0.0063 0.1705 0.2670 1.4786 0.2124 0.6559 0.0000 0.0000
8.4 -2.00 -1.25 0.0000 0.0051 0.0356 1.7941 0.0048 0.0086 0.0114 0.4697 0.1974 0.0126 0.2030 0.1972 1.4302 0.1946 0.5837 0.0000 0.0000
8.4 -2.00 -1.00 0.0000 0.0063 0.0245 2.1101 0.0028 0.0106 0.0213 0.4729 0.1363 0.0236 0.2330 0.1357 1.3446 0.1765 0.5032 0.0000 0.0000
8.4 -1.80 -4.00 0.0477 0.0000 0.0666 0.0000 0.2988 0.0000 0.0000 0.1184 0.1212 0.0000 0.0000 0.1323 0.0228 0.0047 0.0133 0.0298 0.0048
8.4 -1.80 -3.75 0.0354 0.0000 0.0742 0.0018 0.2546 0.0000 0.0000 0.1612 0.1756 0.0000 0.0000 0.1867 0.0652 0.0132 0.0375 0.0283 0.0045
8.4 -1.80 -3.50 0.0250 0.0000 0.0809 0.0063 0.2083 0.0000 0.0000 0.2119 0.2424 0.0000 0.0021 0.2534 0.1736 0.0346 0.0994 0.0258 0.0040
8.4 -1.80 -3.25 0.0169 0.0000 0.0861 0.0198 0.1630 0.0000 0.0000 0.2658 0.3116 0.0000 0.0107 0.3222 0.3912 0.0754 0.2230 0.0215 0.0033
8.4 -1.80 -3.00 0.0109 0.0000 0.0889 0.0535 0.1205 0.0000 0.0000 0.3188 0.3700 0.0000 0.0345 0.3801 0.6935 0.1281 0.3932 0.0159 0.0024
8.4 -1.80 -2.75 0.0068 0.0000 0.0890 0.1256 0.0834 0.0000 0.0000 0.3666 0.4087 0.0000 0.0744 0.4179 0.9911 0.1757 0.5562 0.0107 0.0016
8.4 -1.80 -2.50 0.0041 0.0011 0.0856 0.2604 0.0541 0.0020 0.0012 0.4046 0.4227 0.0014 0.1235 0.4305 1.2254 0.2092 0.6749 0.0068 0.0010
8.4 -1.80 -2.25 0.0024 0.0025 0.0785 0.4789 0.0336 0.0042 0.0032 0.4310 0.4094 0.0035 0.1767 0.4156 1.3809 0.2271 0.7374 0.0041 0.0000
8.4 -1.80 -2.00 0.0015 0.0047 0.0682 0.7806 0.0206 0.0080 0.0073 0.4473 0.3703 0.0080 0.2340 0.3748 1.4672 0.2312 0.7483 0.0025 0.0000
8.4 -1.80 -1.75 0.0011 0.0078 0.0554 1.1359 0.0134 0.0131 0.0156 0.4557 0.3111 0.0172 0.2961 0.3142 1.4948 0.2231 0.7174 0.0016 0.0000
8.4 -1.80 -1.50 0.0000 0.0114 0.0419 1.5022 0.0087 0.0191 0.0311 0.4604 0.2422 0.0344 0.3638 0.2438 1.4807 0.2066 0.6600 0.0012 0.0000
8.4 -1.80 -1.25 0.0000 0.0149 0.0299 1.8244 0.0051 0.0249 0.0566 0.4637 0.1758 0.0629 0.4315 0.1761 1.4301 0.1857 0.5867 0.0000 0.0000
8.4 -1.80 -1.00 0.0000 0.0175 0.0207 2.0756 0.0025 0.0291 0.0924 0.4685 0.1218 0.1030 0.4853 0.1213 1.3511 0.1660 0.5082 0.0000 0.0000
8.4 -1.60 -4.00 0.0506 0.0000 0.0703 0.0011 0.2980 0.0000 0.0000 0.1779 0.1350 0.0000 0.0000 0.1519 0.0279 0.0052 0.0164 0.0313 0.0053
8.4 -1.60 -3.75 0.0384 0.0000 0.0777 0.0036 0.2445 0.0000 0.0000 0.2276 0.1932 0.0000 0.0000 0.2111 0.0808 0.0149 0.0467 0.0297 0.0049
8.4 -1.60 -3.50 0.0283 0.0000 0.0842 0.0119 0.1948 0.0000 0.0000 0.2804 0.2638 0.0000 0.0055 0.2829 0.2152 0.0391 0.1237 0.0269 0.0043
