#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -2.00 -2.00 0.0000 0.0019 0.0640 0.8008 0.0176 0.0033 0.0018 0.4331 0.3549 0.0019 0.1699 0.3592 1.4789 0.2302 0.7702 0.0000 0.0000
8.4 -2.00 -1.75 0.0000 0.0030 0.0543 1.1405 0.0110 0.0051 0.0033 0.4479 0.3045 0.0036 0.1751 0.3073 1.4996 0.2223 0.7308 0.0000 0.0000
8.4 -2.00 -1.50 0.0000 0.0042 0.0425 1.5179 0.0066 0.0072 0.0065 0.4572 0.2413 0.0071 0.1968 0.2428 1.4839 0.2075 0.6695 0.0000 0.0000
8.4 -2.00 -1.25 0.0000 0.0055 0.0314 1.8722 0.0041 0.0094 0.0124 0.4650 0.1796 0.0137 0.2212 0.1800 1.4364 0.1903 0.5930 0.0000 0.0000
8.4 -2.00 -1.00 0.0000 0.0067 0.0215 2.1642 0.0025 0.0112 0.0225 0.4695 0.1232 0.0250 0.2474 0.1231 1.3501 0.1725 0.5095 0.0000 0.0000
8.4 -1.80 -4.00 0.0257 0.0000 0.0556 0.0000 0.1944 0.0000 0.0000 0.0856 0.1234 0.0000 0.0000 0.1281 0.0341 0.0076 0.0197 0.0206 0.0029
8.4 -1.80 -3.75 0.0178 0.0000 0.0632 0.0028 0.1682 0.0000 0.0000 0.1321 0.1812 0.0000 0.0000 0.1862 0.0965 0.0215 0.0554 0.0196 0.0028
8.4 -1.80 -3.50 0.0116 0.0000 0.0692 0.0098 0.1342 0.0000 0.0000 0.1889 0.2459 0.0000 0.0050 0.2513 0.2467 0.0534 0.1415 0.0169 0.0024
8.4 -1.80 -3.25 0.0074 0.0000 0.0748 0.0303 0.0999 0.0000 0.0000 0.2523 0.3108 0.0000 0.0296 0.3164 0.5260 0.1071 0.3014 0.0122 0.0017
8.4 -1.80 -3.00 0.0045 0.0000 0.0787 0.0812 0.0687 0.0000 0.0000 0.3109 0.3637 0.0000 0.1260 0.3693 0.8661 0.1638 0.4958 0.0072 0.0010
8.4 -1.80 -2.75 0.0026 0.0000 0.0794 0.1873 0.0433 0.0012 0.0016 0.3522 0.3931 0.0018 0.3904 0.3982 1.1170 0.2011 0.6390 0.0037 0.0000
