#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons w/ dust grains
#plane-parallel geometry
#
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -1.60 -2.25 0.0000 0.0141 0.0595 0.9774 0.0148 0.0233 0.0769 0.4058 0.3688 0.0852 1.4349 0.3708 1.4848 0.2472 0.8454 0.0000 0.0000
8.4 -1.60 -2.00 0.0000 0.0234 0.0495 1.2515 0.0102 0.0385 0.1394 0.4119 0.3146 0.1549 1.5585 0.3159 1.5257 0.2398 0.8496 0.0000 0.0000
8.4 -1.60 -1.75 0.0000 0.0385 0.0388 1.4654 0.0063 0.0626 0.2886 0.3991 0.2490 0.3217 2.0562 0.2491 1.5093 0.2210 0.8251 0.0000 0.0000
8.4 -1.60 -1.50 0.0000 0.0621 0.0275 1.4961 0.0035 0.0996 0.6001 0.3620 0.1733 0.6736 2.9055 0.1724 1.4225 0.1888 0.7700 0.0000 0.0000
8.4 -1.60 -1.25 0.0000 0.0915 0.0181 1.2309 0.0020 0.1445 1.0852 0.3048 0.1054 1.2311 3.8655 0.1042 1.2598 0.1480 0.6822 0.0000 0.0000
8.4 -1.60 -1.00 0.0000 0.1177 0.0104 0.7703 0.0000 0.1826 1.6662 0.2208 0.0520 1.9168 4.6478 0.0509 0.9857 0.1029 0.5428 0.0000 0.0000
8.4 -1.40 -4.00 0.0246 0.0000 0.0611 0.0036 0.1480 0.0000 0.0000 0.1813 0.1447 0.0000 0.0000 0.1503 0.0575 0.0103 0.0336 0.0220 0.0031
8.4 -1.40 -3.75 0.0168 0.0000 0.0687 0.0120 0.1103 0.0000 0.0000 0.2431 0.2093 0.0000 0.0050 0.2150 0.1603 0.0287 0.0931 0.0207 0.0029
8.4 -1.40 -3.50 0.0109 0.0000 0.0748 0.0381 0.0753 0.0000 0.0000 0.3020 0.2797 0.0000 0.0347 0.2852 0.3914 0.0700 0.2271 0.0172 0.0024
8.4 -1.40 -3.25 0.0066 0.0000 0.0787 0.1090 0.0472 0.0013 0.0022 0.3458 0.3409 0.0024 0.1868 0.3454 0.7462 0.1319 0.4334 0.0114 0.0016
