#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
8.90 -0.750 -3.00 0.3130 0.0025 0.0000 0.0916 0.4389 0.2709
8.90 -0.750 -2.75 0.4771 0.0056 0.0000 0.2388 0.4808 0.2507
8.90 -0.625 -3.25 0.1481 0.0000 0.0000 0.0193 0.3998 0.2340
8.90 -0.625 -3.00 0.2634 0.0020 0.0000 0.0776 0.5268 0.2468
8.90 -0.625 -2.75 0.4002 0.0046 0.0000 0.1991 0.5794 0.2283
8.90 -0.500 -3.25 0.1237 0.0000 0.0000 0.0160 0.4724 0.2095
8.90 -0.500 -3.00 0.2119 0.0015 0.0000 0.0625 0.6143 0.2188
8.90 -0.500 -2.75 0.3169 0.0035 0.0000 0.1574 0.6744 0.2020
9.00 -0.750 -3.25 0.0633 0.0000 0.0000 0.0125 0.1665 0.1016
9.00 -0.750 -3.00 0.1115 0.0000 0.0000 0.0487 0.2105 0.1053
9.00 -0.750 -2.75 0.1382 0.0000 0.0000 0.0485 0.2529 0.1382
9.00 -0.625 -3.25 0.0589 0.0000 0.0000 0.0115 0.2114 0.0973
9.00 -0.625 -3.00 0.0963 0.0000 0.0000 0.0423 0.2547 0.0962
9.00 -0.625 -2.75 0.0952 0.0000 0.0000 0.0813 0.1912 0.0653
9.00 -0.500 -3.25 0.0489 0.0000 0.0000 0.0093 0.2428 0.0846
9.00 -0.500 -3.00 0.0786 0.0000 0.0000 0.0346 0.2952 0.0844
9.00 -0.500 -2.75 0.0833 0.0000 0.0000 0.0736 0.2296 0.0593
9.00 -0.375 -3.25 0.0393 0.0000 0.0000 0.0071 0.2669 0.0707
9.00 -0.375 -3.00 0.0682 0.0000 0.0000 0.0296 0.3643 0.0790
9.00 -0.375 -2.75 0.0719 0.0000 0.0000 0.0663 0.2699 0.0526
9.00 -0.250 -3.25 0.0307 0.0000 0.0000 0.0050 0.2771 0.0559
9.00 -0.250 -3.00 0.0525 0.0000 0.0000 0.0228 0.3825 0.0626
9.00 -0.250 -2.75 0.0600 0.0000 0.0000 0.0542 0.3130 0.0464
9.10 -0.750 -3.25 0.0208 0.0000 0.0000 0.0000 0.0413 0.0287
9.10 -0.750 -3.00 0.0364 0.0000 0.0000 0.0077 0.0957 0.0511
9.10 -0.750 -2.75 0.0696 0.0000 0.0000 0.0376 0.1337 0.0595
9.10 -0.625 -3.25 0.0200 0.0000 0.0000 0.0000 0.0476 0.0250
9.10 -0.625 -3.00 0.0314 0.0000 0.0000 0.0060 0.1067 0.0432
9.10 -0.625 -2.75 0.0539 0.0000 0.0000 0.0276 0.1445 0.0488
9.10 -0.500 -3.25 0.0192 0.0000 0.0000 0.0000 0.0526 0.0209
9.10 -0.500 -3.00 0.0269 0.0000 0.0000 0.0042 0.1122 0.0345
9.10 -0.500 -2.75 0.0402 0.0000 0.0000 0.0181 0.1450 0.0372
9.10 -0.375 -3.25 0.0185 0.0000 0.0000 0.0000 0.0537 0.0162
9.10 -0.375 -3.00 0.0230 0.0000 0.0000 0.0027 0.1090 0.0255
9.10 -0.375 -2.75 0.0297 0.0000 0.0000 0.0102 0.1312 0.0257
9.10 -0.250 -3.25 0.0178 0.0000 0.0000 0.0000 0.0503 0.0115
9.10 -0.250 -3.00 0.0202 0.0000 0.0000 0.0015 0.0949 0.0170
9.10 -0.250 -2.75 0.0230 0.0000 0.0000 0.0046 0.1025 0.0153
