#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 60000 -3.50 0.6659 0.1449 0.1075 0.0193 0.0224 0.0572 0.0161 0.0012 0.0000 0.0113 0.0243
7.1 60000 -3.25 0.6120 0.3295 0.0831 0.0248 0.0218 0.0557 0.0157 0.0014 0.0000 0.0125 0.0193
7.1 60000 -3.00 0.4865 0.5859 0.0620 0.0300 0.0213 0.0545 0.0153 0.0015 0.0000 0.0137 0.0137
7.1 60000 -2.75 0.3512 0.8637 0.0453 0.0342 0.0209 0.0534 0.0150 0.0016 0.0000 0.0147 0.0093
7.1 60000 -2.50 0.2438 1.1372 0.0328 0.0369 0.0205 0.0526 0.0147 0.0017 0.0000 0.0153 0.0063
7.1 60000 -2.25 0.1696 1.4027 0.0240 0.0377 0.0202 0.0519 0.0144 0.0019 0.0017 0.0152 0.0044
7.1 60000 -2.00 0.1214 1.6626 0.0180 0.0365 0.0200 0.0513 0.0142 0.0023 0.0031 0.0143 0.0032
7.1 60000 -1.75 0.0904 1.9173 0.0140 0.0337 0.0197 0.0508 0.0141 0.0029 0.0050 0.0128 0.0024
7.1 60000 -1.50 0.0700 2.1629 0.0112 0.0301 0.0194 0.0503 0.0139 0.0040 0.0070 0.0111 0.0019
7.4 30000 -4.00 0.4489 0.0000 0.1845 0.0015 0.0010 0.0026 0.0000 0.0000 0.0000 0.0000 0.0254
7.4 30000 -3.75 0.5339 0.0000 0.1879 0.0026 0.0011 0.0029 0.0000 0.0000 0.0000 0.0000 0.0280
7.4 30000 -3.50 0.6224 0.0000 0.1872 0.0045 0.0011 0.0030 0.0000 0.0000 0.0000 0.0000 0.0305
7.4 30000 -3.25 0.7094 0.0000 0.1794 0.0074 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000 0.0327
7.4 30000 -3.00 0.7784 0.0000 0.1610 0.0114 0.0012 0.0032 0.0000 0.0000 0.0000 0.0000 0.0343
7.4 30000 -2.75 0.8149 0.0000 0.1330 0.0160 0.0013 0.0034 0.0000 0.0000 0.0000 0.0000 0.0350
