#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 40000.0000 -3.2700 1.5128 0.1811 0.1701 0.0421 0.0209 0.0536 0.0151 0.0000 0.0000 0.0160
7.4000 40000.0000 -3.5100 1.3565 0.0525 0.2181 0.0299 0.0204 0.0522 0.0147 0.0000 0.0000 0.0132
7.4000 40000.0000 -3.7500 1.1439 0.0143 0.2584 0.0196 0.0195 0.0500 0.0141 0.0000 0.0000 0.0107
7.4000 40000.0000 -4.0000 0.9464 0.0039 0.2876 0.0122 0.0183 0.0469 0.0133 0.0000 0.0000 0.0085
7.4000 45000.0000 -1.5000 0.3590 3.0772 0.0289 0.0755 0.0211 0.0546 0.0152 0.0027 0.0040 0.0238
7.4000 45000.0000 -1.7500 0.4354 2.7955 0.0331 0.0779 0.0213 0.0550 0.0153 0.0019 0.0029 0.0245
7.4000 45000.0000 -2.0100 0.5358 2.4861 0.0393 0.0789 0.0214 0.0552 0.0154 0.0013 0.0020 0.0249
7.4000 45000.0000 -2.2600 0.6663 2.1439 0.0482 0.0782 0.0215 0.0554 0.0155 0.0000 0.0012 0.0247
7.4000 45000.0000 -2.5200 0.8299 1.7600 0.0612 0.0753 0.0216 0.0555 0.0155 0.0000 0.0000 0.0240
7.4000 45000.0000 -2.7700 1.0360 1.3088 0.0808 0.0691 0.0216 0.0555 0.0155 0.0000 0.0000 0.0226
7.4000 45000.0000 -3.0100 1.2853 0.7830 0.1117 0.0592 0.0216 0.0554 0.0156 0.0000 0.0000 0.0203
7.4000 45000.0000 -3.2600 1.4478 0.3339 0.1552 0.0469 0.0216 0.0552 0.0155 0.0000 0.0000 0.0176
7.4000 45000.0000 -3.5000 1.3838 0.1029 0.2053 0.0342 0.0214 0.0547 0.0154 0.0000 0.0000 0.0148
