#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 32500.0000 -1.7500 1.5641 0.1010 0.0414 0.0520 0.0079 0.0204 0.0058 0.0000 0.0000 0.0066
7.4000 32500.0000 -2.0000 1.5960 0.0497 0.0603 0.0495 0.0066 0.0171 0.0049 0.0000 0.0000 0.0052
7.4000 32500.0000 -2.2500 1.5840 0.0229 0.0871 0.0454 0.0057 0.0146 0.0042 0.0000 0.0000 0.0042
7.4000 32500.0000 -2.5000 1.5243 0.0100 0.1222 0.0393 0.0050 0.0129 0.0037 0.0000 0.0000 0.0035
7.4000 32500.0000 -2.7500 1.4160 0.0042 0.1626 0.0316 0.0046 0.0118 0.0034 0.0000 0.0000 0.0029
7.4000 32500.0000 -3.0000 1.2627 0.0017 0.2010 0.0231 0.0043 0.0111 0.0031 0.0000 0.0000 0.0024
7.4000 32500.0000 -3.2500 1.0927 0.0000 0.2299 0.0155 0.0041 0.0107 0.0030 0.0000 0.0000 0.0021
7.4000 32500.0000 -3.5000 0.9275 0.0000 0.2460 0.0097 0.0040 0.0103 0.0029 0.0000 0.0000 0.0018
7.4000 32500.0000 -3.7500 0.7817 0.0000 0.2517 0.0058 0.0038 0.0098 0.0028 0.0000 0.0000 0.0015
7.4000 32500.0000 -4.0000 0.6554 0.0000 0.2519 0.0034 0.0034 0.0088 0.0025 0.0000 0.0000 0.0011
7.4000 35000.0000 -1.5000 1.3578 1.2329 0.0255 0.0792 0.0192 0.0495 0.0138 0.0000 0.0000 0.0223
7.4000 35000.0000 -1.7500 1.6716 0.8665 0.0364 0.0759 0.0178 0.0457 0.0128 0.0000 0.0000 0.0197
7.4000 35000.0000 -2.0000 1.9139 0.5446 0.0526 0.0713 0.0161 0.0414 0.0116 0.0000 0.0000 0.0169
7.4000 35000.0000 -2.2500 2.0228 0.3008 0.0756 0.0650 0.0145 0.0373 0.0105 0.0000 0.0000 0.0142
7.4000 35000.0000 -2.5000 1.9792 0.1457 0.1067 0.0568 0.0133 0.0341 0.0096 0.0000 0.0000 0.0118
7.4000 35000.0000 -2.7500 1.8166 0.0617 0.1451 0.0467 0.0124 0.0318 0.0089 0.0000 0.0000 0.0098
7.4000 35000.0000 -3.0000 1.5933 0.0237 0.1865 0.0359 0.0118 0.0303 0.0085 0.0000 0.0000 0.0081
7.4000 35000.0000 -3.2500 1.3631 0.0084 0.2248 0.0256 0.0113 0.0291 0.0082 0.0000 0.0000 0.0067
