#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 40000.0000 -2.7500 1.5084 0.6165 0.1032 0.0604 0.0214 0.0547 0.0153 0.0000 0.0000 0.0201
7.4000 40000.0000 -3.0000 1.5821 0.2899 0.1410 0.0496 0.0212 0.0542 0.0152 0.0000 0.0000 0.0177
7.4000 40000.0000 -3.2500 1.4944 0.1110 0.1842 0.0382 0.0208 0.0533 0.0150 0.0000 0.0000 0.0151
7.4000 40000.0000 -3.5000 1.3150 0.0372 0.2265 0.0274 0.0202 0.0518 0.0146 0.0000 0.0000 0.0127
7.4000 40000.0000 -3.7500 1.1169 0.0115 0.2622 0.0184 0.0194 0.0497 0.0140 0.0000 0.0000 0.0104
7.4000 40000.0000 -4.0000 0.9337 0.0035 0.2888 0.0118 0.0182 0.0467 0.0132 0.0000 0.0000 0.0084
7.4000 45000.0000 -1.5000 0.2757 3.1480 0.0196 0.0845 0.0214 0.0553 0.0153 0.0014 0.0029 0.0261
7.4000 45000.0000 -1.7500 0.3749 2.7964 0.0254 0.0862 0.0214 0.0553 0.0154 0.0010 0.0017 0.0266
7.4000 45000.0000 -2.0000 0.5193 2.3953 0.0342 0.0846 0.0215 0.0553 0.0154 0.0000 0.0000 0.0263
7.4000 45000.0000 -2.2500 0.7227 1.9393 0.0470 0.0801 0.0215 0.0553 0.0154 0.0000 0.0000 0.0251
7.4000 45000.0000 -2.5000 0.9841 1.4361 0.0661 0.0730 0.0216 0.0553 0.0155 0.0000 0.0000 0.0234
7.4000 45000.0000 -2.7500 1.2601 0.9248 0.0928 0.0640 0.0216 0.0553 0.0155 0.0000 0.0000 0.0213
7.4000 45000.0000 -3.0000 1.4540 0.4896 0.1281 0.0537 0.0216 0.0552 0.0155 0.0000 0.0000 0.0190
7.4000 45000.0000 -3.2500 1.4784 0.2049 0.1708 0.0424 0.0215 0.0550 0.0155 0.0000 0.0000 0.0166
7.4000 45000.0000 -3.5000 1.3511 0.0714 0.2155 0.0314 0.0213 0.0544 0.0153 0.0000 0.0000 0.0142
