#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 55000 -3.01 0.6608 0.3319 0.0746 0.0267 0.0218 0.0558 0.0157 0.0027 0.0000 0.0125 0.0201 0.0000 0.1298
7.1 55000 -2.58 0.5212 0.6351 0.0538 0.0327 0.0216 0.0553 0.0155 0.0030 0.0000 0.0141 0.0143 0.0041 0.2284
7.1 55000 -2.07 0.3959 0.9375 0.0397 0.0368 0.0213 0.0547 0.0153 0.0034 0.0000 0.0152 0.0104 0.0169 0.3669
7.1 55000 -1.54 0.3092 1.1883 0.0310 0.0386 0.0211 0.0543 0.0151 0.0041 0.0012 0.0155 0.0079 0.0509 0.5148
7.1 55000 -1.02 0.2453 1.3943 0.0252 0.0386 0.0208 0.0537 0.0149 0.0054 0.0020 0.0154 0.0062 0.1171 0.6499
7.1 55000 -0.63 0.2066 1.5326 0.0220 0.0379 0.0206 0.0532 0.0148 0.0068 0.0028 0.0150 0.0052 0.1900 0.7450
7.1 55000 -0.06 0.1616 1.7166 0.0184 0.0357 0.0202 0.0522 0.0145 0.0099 0.0040 0.0141 0.0042 0.3245 0.8769
7.1 55000 0.37 0.1350 1.8401 0.0164 0.0334 0.0198 0.0513 0.0142 0.0133 0.0050 0.0131 0.0035 0.4511 0.9680
7.1 60000 -3.96 0.5533 0.0127 0.1529 0.0099 0.0230 0.0590 0.0167 0.0026 0.0000 0.0082 0.0267 0.0000 0.0183
7.1 60000 -3.68 0.6455 0.0452 0.1281 0.0146 0.0227 0.0580 0.0164 0.0037 0.0000 0.0096 0.0273 0.0000 0.0375
7.1 60000 -3.36 0.6868 0.1563 0.0997 0.0207 0.0222 0.0568 0.0160 0.0047 0.0000 0.0111 0.0248 0.0000 0.0759
7.1 60000 -3.01 0.6066 0.3867 0.0742 0.0270 0.0218 0.0558 0.0157 0.0053 0.0000 0.0127 0.0191 0.0013 0.1391
