#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.021 -3.97 1.2866 0.1188 0.2097 0.0298 0.0177 0.0448 0.0126 0.0457 0.0000 0.0152 0.0537 0.0000 0.0879
7.4 0.026 -3.97 1.3119 0.1198 0.2139 0.0304 0.0179 0.0450 0.0125 0.0451 0.0000 0.0155 0.0548 0.0000 0.0894
7.4 1.000 -3.76 1.1536 0.2121 0.2852 0.0306 0.0221 0.0565 0.0159 0.0548 0.0000 0.0166 0.0538 0.0000 0.1017
7.4 0.765 -3.74 1.2670 0.2605 0.2048 0.0353 0.0186 0.0473 0.0133 0.0585 0.0000 0.0168 0.0526 0.0000 0.1214
7.4 0.478 -3.71 1.3131 0.3540 0.1810 0.0401 0.0177 0.0449 0.0126 0.0665 0.0000 0.0175 0.0507 0.0000 0.1455
7.4 0.189 -3.69 1.3189 0.4405 0.1693 0.0434 0.0171 0.0435 0.0122 0.0746 0.0000 0.0181 0.0487 0.0013 0.1673
7.4 0.114 -3.68 1.3304 0.4454 0.1667 0.0439 0.0169 0.0427 0.0119 0.0760 0.0000 0.0182 0.0486 0.0014 0.1727
7.4 0.064 -3.68 1.3475 0.4354 0.1649 0.0442 0.0166 0.0420 0.0117 0.0768 0.0000 0.0182 0.0489 0.0014 0.1759
7.4 0.021 -3.68 1.3153 0.4089 0.1566 0.0427 0.0158 0.0401 0.0112 0.0788 0.0000 0.0176 0.0475 0.0013 0.1735
7.4 0.026 -3.68 1.3446 0.4120 0.1598 0.0435 0.0160 0.0403 0.0112 0.0781 0.0000 0.0179 0.0486 0.0014 0.1762
7.4 1.000 -3.52 1.0601 0.5554 0.2213 0.0408 0.0200 0.0512 0.0144 0.0682 0.0000 0.0182 0.0452 0.0033 0.1827
7.4 0.743 -3.48 1.1193 0.7062 0.1492 0.0481 0.0168 0.0428 0.0120 0.0815 0.0000 0.0190 0.0413 0.0042 0.2237
7.4 0.502 -3.45 1.0463 0.9051 0.1287 0.0532 0.0158 0.0401 0.0112 0.0990 0.0000 0.0199 0.0358 0.0058 0.2624
7.4 0.192 -3.41 0.9411 1.1019 0.1140 0.0572 0.0145 0.0368 0.0103 0.1229 0.0000 0.0206 0.0302 0.0088 0.3059
7.4 0.115 -3.39 0.9505 1.1149 0.1114 0.0579 0.0141 0.0358 0.0099 0.1271 0.0000 0.0208 0.0299 0.0094 0.3167
7.4 0.064 -3.39 0.9732 1.1023 0.1094 0.0581 0.0139 0.0350 0.0097 0.1291 0.0000 0.0208 0.0303 0.0096 0.3232
7.4 0.020 -3.38 0.9582 1.0476 0.1031 0.0560 0.0131 0.0332 0.0092 0.1316 0.0000 0.0200 0.0296 0.0093 0.3184
7.4 0.027 -3.38 0.9868 1.0599 0.1053 0.0571 0.0133 0.0335 0.0093 0.1309 0.0000 0.0204 0.0304 0.0094 0.3236
7.4 1.000 -3.28 0.8160 1.0447 0.1619 0.0505 0.0184 0.0470 0.0132 0.0784 0.0000 0.0196 0.0328 0.0201 0.3175
7.4 0.743 -3.22 0.7463 1.3475 0.0970 0.0596 0.0154 0.0393 0.0110 0.1009 0.0000 0.0208 0.0248 0.0261 0.3928
7.4 0.475 -3.17 0.5317 1.6876 0.0751 0.0651 0.0135 0.0344 0.0096 0.1395 0.0000 0.0218 0.0158 0.0380 0.4714
7.4 0.201 -3.09 0.3958 1.8753 0.0621 0.0679 0.0109 0.0277 0.0077 0.1915 0.0011 0.0223 0.0111 0.0596 0.5472
7.4 0.097 -3.05 0.3817 1.8890 0.0580 0.0686 0.0099 0.0251 0.0069 0.2080 0.0011 0.0225 0.0104 0.0706 0.5778
7.4 0.055 -3.04 0.3993 1.8959 0.0573 0.0695 0.0097 0.0246 0.0068 0.2120 0.0011 0.0229 0.0107 0.0741 0.5957
7.4 0.020 -3.02 0.3966 1.8258 0.0540 0.0673 0.0092 0.0231 0.0063 0.2132 0.0000 0.0222 0.0105 0.0739 0.5902
7.4 0.027 -3.02 0.3966 1.8258 0.0540 0.0673 0.0092 0.0231 0.0063 0.2132 0.0000 0.0222 0.0105 0.0739 0.5902
7.4 1.000 -3.04 0.6054 1.4468 0.1173 0.0551 0.0173 0.0443 0.0124 0.0845 0.0018 0.0193 0.0235 0.1009 0.4986
7.4 0.727 -2.97 0.4192 1.8794 0.0564 0.0642 0.0144 0.0368 0.0102 0.1147 0.0023 0.0203 0.0124 0.1361 0.6302
7.4 0.465 -2.89 0.2181 2.1692 0.0376 0.0668 0.0117 0.0298 0.0083 0.1708 0.0032 0.0203 0.0056 0.2006 0.7597
7.4 0.199 -2.76 0.1136 2.1425 0.0257 0.0655 0.0069 0.0176 0.0048 0.2668 0.0045 0.0194 0.0029 0.3410 0.8915
7.4 0.097 -2.68 0.0909 1.9997 0.0216 0.0639 0.0054 0.0137 0.0038 0.2952 0.0049 0.0190 0.0024 0.4395 0.9486
7.4 0.048 -2.64 0.0833 1.8983 0.0197 0.0627 0.0049 0.0123 0.0034 0.3024 0.0050 0.0189 0.0022 0.4942 0.9733
7.4 0.029 -2.62 0.0840 1.8866 0.0194 0.0633 0.0048 0.0121 0.0033 0.3077 0.0050 0.0193 0.0022 0.5215 0.9984
7.4 0.023 -2.60 0.0802 1.8015 0.0183 0.0610 0.0045 0.0115 0.0031 0.3037 0.0048 0.0187 0.0021 0.5227 0.9783
7.4 1.000 -2.80 0.4641 1.6782 0.0887 0.0541 0.0164 0.0419 0.0117 0.0918 0.0035 0.0179 0.0176 0.3319 0.6679
7.4 0.727 -2.72 0.2421 2.1213 0.0338 0.0606 0.0136 0.0347 0.0096 0.1258 0.0048 0.0180 0.0064 0.4524 0.8451
7.4 0.459 -2.62 0.0991 2.2675 0.0181 0.0583 0.0103 0.0262 0.0072 0.1956 0.0069 0.0161 0.0022 0.6876 1.0229
7.4 0.189 -2.43 0.0298 1.7177 0.0086 0.0491 0.0036 0.0092 0.0025 0.3298 0.0101 0.0119 0.0000 1.2840 1.1676
