#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
7.10 -0.125 -2.50 0.0603 0.0179 0.0226 0.0066 0.0015 0.0293 0.0290 0.0286 0.0928 0.0828 0.0569 0.0022
7.10 -0.125 -2.25 0.0594 0.0176 0.0387 0.0065 0.0000 0.0309 0.0280 0.0275 0.1037 0.0863 0.0638 0.0015
7.10 -0.125 -2.00 0.0585 0.0173 0.0587 0.0064 0.0000 0.0322 0.0257 0.0251 0.1120 0.0845 0.0691 0.0011
7.10 0.000 -2.50 0.0605 0.0180 0.0226 0.0066 0.0015 0.0293 0.0289 0.0285 0.0924 0.1100 0.0567 0.0029
7.10 0.000 -2.25 0.0597 0.0177 0.0387 0.0065 0.0000 0.0308 0.0279 0.0274 0.1031 0.1145 0.0634 0.0020
7.10 0.000 -2.00 0.0589 0.0175 0.0589 0.0064 0.0000 0.0320 0.0255 0.0250 0.1111 0.1121 0.0684 0.0014
7.20 -2.000 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0014 0.0716 0.0000
7.20 -2.000 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0015 0.0803 0.0000
7.20 -2.000 -2.00 0.0584 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1413 0.0014 0.0870 0.0000
7.20 -1.875 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0019 0.0716 0.0000
7.20 -1.875 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0019 0.0803 0.0000
7.20 -1.875 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1412 0.0019 0.0870 0.0000
7.20 -1.750 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0025 0.0716 0.0000
7.20 -1.750 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0026 0.0802 0.0000
7.20 -1.750 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1412 0.0025 0.0870 0.0000
7.20 -1.625 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0033 0.0716 0.0000
7.20 -1.625 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1305 0.0034 0.0802 0.0000
7.20 -1.625 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1412 0.0034 0.0869 0.0000
7.20 -1.500 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1167 0.0044 0.0716 0.0000
7.20 -1.500 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0354 0.0347 0.1304 0.0046 0.0802 0.0000
7.20 -1.500 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1411 0.0045 0.0869 0.0000
7.20 -1.375 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1166 0.0059 0.0715 0.0000
7.20 -1.375 -2.25 0.0594 0.0176 0.0484 0.0065 0.0012 0.0389 0.0353 0.0347 0.1304 0.0061 0.0802 0.0000
7.20 -1.375 -2.00 0.0585 0.0173 0.0734 0.0064 0.0000 0.0405 0.0325 0.0318 0.1411 0.0060 0.0868 0.0000
7.20 -1.250 -2.50 0.0603 0.0179 0.0282 0.0066 0.0019 0.0369 0.0365 0.0360 0.1166 0.0078 0.0715 0.0000
7.20 -1.250 -2.25 0.0595 0.0176 0.0484 0.0065 0.0012 0.0389 0.0353 0.0347 0.1304 0.0082 0.0801 0.0000
