#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.7 30000.0 -1.75 2.1965 1.3965 0.0764 0.1244 0.0524 0.0
7.7 32500.0 -1.75 1.7429 2.0926 0.062 0.1331 0.0552 0.0
7.7 35000.0 -1.75 1.3607 2.6999 0.0544 0.1394 0.0557 0.0
7.7 37500.0 -1.75 1.0757 3.2103 0.0501 0.1439 0.056 0.0
7.7 40000.0 -1.75 0.871 3.6359 0.0477 0.1466 0.0561 0.0
7.7 45000.0 -1.75 0.6192 4.3043 0.0457 0.1469 0.0561 0.001
7.7 50000.0 -1.75 0.4837 4.7994 0.0456 0.1418 0.0558 0.0027
7.7 55000.0 -1.75 0.4056 5.1688 0.0464 0.1335 0.0551 0.0059
7.7 60000.0 -1.75 0.3581 5.4312 0.0475 0.1241 0.0541 0.0112
7.7 70000.0 -1.75 0.3075 5.6566 0.0495 0.1064 0.051 0.0297
