#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 70000 -4.00 0.5491 0.0168 0.1594 0.0102 0.0239 0.0612 0.0173 0.0073 0.0000 0.0088 0.0271 0.0000 0.0209
7.1 70000 -3.75 0.6285 0.0546 0.1332 0.0145 0.0230 0.0588 0.0166 0.0100 0.0000 0.0099 0.0275 0.0000 0.0400
7.1 70000 -3.50 0.6567 0.1555 0.1066 0.0197 0.0222 0.0567 0.0160 0.0125 0.0000 0.0111 0.0253 0.0000 0.0720
7.1 70000 -3.25 0.5932 0.3478 0.0819 0.0251 0.0215 0.0550 0.0154 0.0141 0.0000 0.0123 0.0203 0.0012 0.1211
7.1 70000 -3.00 0.4665 0.6023 0.0607 0.0300 0.0209 0.0536 0.0150 0.0149 0.0000 0.0135 0.0146 0.0046 0.1910
7.1 70000 -2.75 0.3363 0.8714 0.0441 0.0339 0.0205 0.0525 0.0147 0.0157 0.0000 0.0143 0.0100 0.0145 0.2857
7.1 70000 -2.50 0.2336 1.1324 0.0318 0.0360 0.0201 0.0516 0.0144 0.0170 0.0011 0.0146 0.0067 0.0407 0.4083
7.1 70000 -2.25 0.1630 1.3789 0.0231 0.0361 0.0197 0.0506 0.0141 0.0193 0.0022 0.0142 0.0046 0.1018 0.5559
7.1 70000 -2.00 0.1170 1.6078 0.0172 0.0343 0.0193 0.0497 0.0138 0.0232 0.0037 0.0132 0.0033 0.2245 0.7192
7.1 70000 -1.75 0.0874 1.8105 0.0133 0.0311 0.0187 0.0485 0.0134 0.0294 0.0055 0.0116 0.0025 0.4322 0.8800
7.1 70000 -1.50 0.0679 1.9712 0.0107 0.0271 0.0181 0.0469 0.0129 0.0388 0.0074 0.0100 0.0020 0.7226 1.0094
7.1 80000 -4.00 0.5469 0.0216 0.1658 0.0105 0.0244 0.0624 0.0176 0.0155 0.0000 0.0091 0.0276 0.0000 0.0234
7.1 80000 -3.75 0.6160 0.0694 0.1373 0.0148 0.0230 0.0587 0.0166 0.0207 0.0000 0.0101 0.0275 0.0000 0.0439
7.1 80000 -3.50 0.6223 0.1890 0.1093 0.0198 0.0217 0.0556 0.0156 0.0258 0.0000 0.0113 0.0248 0.0000 0.0776
7.1 80000 -3.25 0.5393 0.3959 0.0837 0.0249 0.0208 0.0531 0.0149 0.0292 0.0000 0.0124 0.0195 0.0022 0.1287
7.1 80000 -3.00 0.4128 0.6463 0.0621 0.0295 0.0201 0.0513 0.0144 0.0310 0.0000 0.0133 0.0140 0.0081 0.2006
7.1 80000 -2.75 0.2946 0.8981 0.0450 0.0326 0.0195 0.0499 0.0139 0.0325 0.0000 0.0138 0.0095 0.0254 0.2958
7.1 80000 -2.50 0.2046 1.1343 0.0324 0.0336 0.0189 0.0486 0.0135 0.0350 0.0016 0.0136 0.0065 0.0704 0.4141
7.1 80000 -2.25 0.1433 1.3488 0.0234 0.0326 0.0184 0.0472 0.0131 0.0393 0.0029 0.0128 0.0045 0.1710 0.5492
7.1 80000 -2.00 0.1033 1.5328 0.0174 0.0300 0.0177 0.0457 0.0126 0.0465 0.0045 0.0114 0.0032 0.3568 0.6862
7.1 80000 -1.75 0.0776 1.6729 0.0135 0.0263 0.0169 0.0437 0.0121 0.0577 0.0064 0.0098 0.0024 0.6357 0.8038
7.1 80000 -1.50 0.0607 1.7486 0.0107 0.0224 0.0159 0.0411 0.0113 0.0738 0.0081 0.0082 0.0019 0.9674 0.8728
7.1 90000 -4.00 0.5424 0.0252 0.1725 0.0106 0.0246 0.0628 0.0178 0.0268 0.0000 0.0094 0.0279 0.0000 0.0252
7.1 90000 -3.75 0.6036 0.0801 0.1420 0.0148 0.0227 0.0579 0.0163 0.0353 0.0000 0.0103 0.0276 0.0000 0.0466
7.1 90000 -3.50 0.5954 0.2123 0.1126 0.0197 0.0210 0.0537 0.0151 0.0438 0.0000 0.0113 0.0245 0.0000 0.0814
7.1 90000 -3.25 0.5022 0.4258 0.0858 0.0246 0.0197 0.0504 0.0142 0.0500 0.0000 0.0124 0.0191 0.0033 0.1340
