#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
7.1000000 	 -0.9000000 	 -2.7500000 	 10.1433000 	 0.0000000 	 0.0619000 	 2.2478000 	 0.0841000 	 0.1085000 	 0.0607000 	 0.0276000 	 0.9452000
7.1000000 	 -0.9000000 	 -2.5000000 	 7.1092000 	 0.0041000 	 0.1371000 	 2.3724000 	 0.1097000 	 0.1370000 	 0.0560000 	 0.0323000 	 0.9561000
7.1000000 	 -0.9000000 	 -2.2500000 	 4.9175000 	 0.0133000 	 0.2313000 	 2.5477000 	 0.1241000 	 0.1450000 	 0.0470000 	 0.0334000 	 0.8744000
7.1000000 	 -0.9000000 	 -2.0000000 	 3.9427000 	 0.0298000 	 0.2948000 	 2.7539000 	 0.1179000 	 0.1245000 	 0.0362000 	 0.0297000 	 0.7129000
7.1000000 	 -0.9000000 	 -1.7500000 	 3.3268000 	 0.0482000 	 0.2907000 	 2.9551000 	 0.0922000 	 0.0878000 	 0.0255000 	 0.0224000 	 0.5141000
7.1000000 	 -0.9000000 	 -1.5000000 	 2.8025000 	 0.0573000 	 0.2327000 	 3.0983000 	 0.0602000 	 0.0538000 	 0.0166000 	 0.0145000 	 0.3295000
7.1000000 	 -0.9000000 	 -1.2500000 	 2.5169000 	 0.0536000 	 0.1607000 	 3.1293000 	 0.0347000 	 0.0307000 	 0.0103000 	 0.0084000 	 0.1929000
7.1000000 	 -0.9000000 	 -1.0000000 	 2.4486000 	 0.0423000 	 0.1010000 	 3.0228000 	 0.0195000 	 0.0176000 	 0.0064000 	 0.0047000 	 0.1077000
7.1000000 	 -0.9000000 	 -0.7500000 	 1.3406000 	 0.0400000 	 0.0720000 	 2.7598000 	 0.0542000 	 0.0142000 	 0.0042000 	 0.0089000 	 0.1182000
7.1000000 	 -0.9000000 	 -0.5000000 	 1.0188000 	 0.0322000 	 0.0494000 	 2.6475000 	 0.0515000 	 0.0118000 	 0.0040000 	 0.0082000 	 0.1001000
7.2000000 	 -1.1500000 	 -4.0000000 	 38.0671000 	 0.0000000 	 0.0000000 	 0.9010000 	 0.0000000 	 0.0049000 	 0.0319000 	 0.0000000 	 0.0511000
7.2000000 	 -1.1500000 	 -3.7500000 	 38.4437000 	 0.0000000 	 0.0000000 	 1.3195000 	 0.0027000 	 0.0095000 	 0.0414000 	 0.0021000 	 0.1475000
7.2000000 	 -1.1500000 	 -3.5000000 	 34.0329000 	 0.0000000 	 0.0000000 	 1.7109000 	 0.0135000 	 0.0180000 	 0.0523000 	 0.0066000 	 0.3887000
