12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.0000 6.0300 -3.0000 0.3468 0.0387 0.0092 0.4847 0.0000 0.0133 0.0115 0.1957 0.0100 0.0926
7.0000 5.8300 -3.0000 0.3480 0.0389 0.0093 0.4870 0.0000 0.0084 0.0115 0.1237 0.0101 0.0586
7.0000 5.6300 -3.0000 0.3489 0.0390 0.0094 0.4885 0.0000 0.0053 0.0115 0.0780 0.0102 0.0370
7.0000 5.4300 -3.0000 0.3494 0.0391 0.0094 0.4894 0.0000 0.0034 0.0115 0.0493 0.0102 0.0234
7.0000 5.2300 -3.0000 0.3496 0.0391 0.0095 0.4900 0.0000 0.0021 0.0115 0.0311 0.0102 0.0148
7.0000 5.0300 -3.0000 0.3499 0.0392 0.0095 0.4904 0.0000 0.0013 0.0115 0.0196 0.0102 0.0093
7.0000 4.8300 -3.0000 0.3500 0.0392 0.0095 0.4906 0.0000 0.0000 0.0115 0.0124 0.0102 0.0059
7.0000 6.0300 -2.7500 0.2463 0.0483 0.0151 0.6971 0.0000 0.0164 0.0078 0.1423 0.0074 0.1042
7.0000 5.8300 -2.7500 0.2471 0.0486 0.0153 0.7004 0.0000 0.0104 0.0078 0.0898 0.0075 0.0659
7.0000 5.6300 -2.7500 0.2476 0.0487 0.0154 0.7025 0.0000 0.0066 0.0078 0.0567 0.0077 0.0416
7.0000 5.4300 -2.7500 0.2479 0.0488 0.0154 0.7039 0.0000 0.0042 0.0078 0.0358 0.0077 0.0263
7.0000 5.2300 -2.7500 0.2481 0.0489 0.0155 0.7047 0.0000 0.0026 0.0078 0.0226 0.0077 0.0166
7.0000 5.0300 -2.7500 0.2482 0.0489 0.0155 0.7052 0.0000 0.0017 0.0078 0.0142 0.0077 0.0105
7.0000 4.8300 -2.7500 0.2483 0.0489 0.0155 0.7055 0.0000 0.0011 0.0078 0.0090 0.0077 0.0066
7.0000 6.0300 -2.5000 0.1697 0.0590 0.0222 0.9041 0.0000 0.0190 0.0053 0.1024 0.0046 0.1097
7.0000 5.8300 -2.5000 0.1702 0.0593 0.0224 0.9084 0.0000 0.0121 0.0053 0.0646 0.0047 0.0694
7.0000 5.6300 -2.5000 0.1706 0.0595 0.0226 0.9111 0.0000 0.0076 0.0053 0.0408 0.0047 0.0438
7.0000 5.4300 -2.5000 0.1707 0.0596 0.0227 0.9128 0.0000 0.0048 0.0053 0.0257 0.0047 0.0277
7.0000 5.2300 -2.5000 0.1708 0.0597 0.0227 0.9138 0.0000 0.0031 0.0053 0.0163 0.0047 0.0175
7.0000 5.0300 -2.5000 0.1709 0.0597 0.0228 0.9145 0.0000 0.0019 0.0053 0.0103 0.0047 0.0110
7.0000 4.8300 -2.5000 0.1709 0.0598 0.0228 0.9149 0.0000 0.0012 0.0053 0.0065 0.0047 0.0070
7.0000 6.0300 -2.2500 0.1181 0.0707 0.0306 1.1041 0.0000 0.0205 0.0037 0.0742 0.0016 0.1082
