#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, S/O: -0.6 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.1000 4.9300 -3.7500 0.6205 0.0170 0.0011 0.0828 0.0000 0.0000 0.0228 0.0202 0.0163 0.0039
7.1000 6.1300 -3.5000 0.6868 0.0279 0.0034 0.2322 0.0000 0.0113 0.0233 0.3037 0.0186 0.0932
7.1000 5.9300 -3.5000 0.6927 0.0281 0.0034 0.2335 0.0000 0.0072 0.0234 0.1924 0.0188 0.0591
7.1000 5.7300 -3.5000 0.6963 0.0283 0.0035 0.2346 0.0000 0.0046 0.0234 0.1217 0.0190 0.0374
7.1000 5.5300 -3.5000 0.6989 0.0283 0.0035 0.2340 0.0000 0.0029 0.0235 0.0770 0.0191 0.0236
7.1000 5.3300 -3.5000 0.7001 0.0284 0.0035 0.2352 0.0000 0.0018 0.0235 0.0486 0.0192 0.0149
7.1000 5.1300 -3.5000 0.7010 0.0284 0.0035 0.2354 0.0000 0.0012 0.0235 0.0306 0.0192 0.0094
7.1000 4.9300 -3.5000 0.7016 0.0285 0.0035 0.2355 0.0000 0.0000 0.0236 0.0194 0.0192 0.0059
7.1000 6.1300 -3.2500 0.5776 0.0387 0.0076 0.4567 0.0000 0.0152 0.0174 0.2280 0.0167 0.1147
7.1000 5.9300 -3.2500 0.5821 0.0390 0.0077 0.4614 0.0000 0.0097 0.0175 0.1443 0.0169 0.0728
7.1000 5.7300 -3.2500 0.5914 0.0391 0.0076 0.4553 0.0000 0.0061 0.0179 0.0925 0.0172 0.0458
7.1000 5.5300 -3.2500 0.5936 0.0390 0.0076 0.4527 0.0000 0.0039 0.0180 0.0585 0.0173 0.0289
7.1000 5.3300 -3.2500 0.5881 0.0395 0.0079 0.4654 0.0000 0.0025 0.0176 0.0364 0.0172 0.0184
7.1000 5.1300 -3.2500 0.5894 0.0395 0.0078 0.4643 0.0000 0.0016 0.0176 0.0230 0.0172 0.0116
7.1000 4.9300 -3.2500 0.5903 0.0395 0.0078 0.4637 0.0000 0.0000 0.0177 0.0146 0.0172 0.0073
7.1000 6.1300 -3.0000 0.4159 0.0505 0.0137 0.7297 0.0000 0.0193 0.0114 0.1624 0.0128 0.1331
7.1000 5.9300 -3.0000 0.4173 0.0510 0.0140 0.7382 0.0000 0.0124 0.0113 0.1025 0.0129 0.0844
7.1000 5.7300 -3.0000 0.4208 0.0512 0.0141 0.7387 0.0000 0.0078 0.0114 0.0650 0.0130 0.0533
7.1000 5.5300 -3.0000 0.4232 0.0513 0.0141 0.7387 0.0000 0.0049 0.0115 0.0412 0.0132 0.0337
7.1000 5.3300 -3.0000 0.4251 0.0513 0.0141 0.7384 0.0000 0.0031 0.0115 0.0260 0.0132 0.0213
7.1000 5.1300 -3.0000 0.4263 0.0514 0.0141 0.7378 0.0000 0.0020 0.0116 0.0165 0.0132 0.0134
7.1000 4.9300 -3.0000 0.4262 0.0514 0.0142 0.7391 0.0000 0.0012 0.0116 0.0104 0.0132 0.0085
7.1000 6.1300 -2.7500 0.2747 0.0631 0.0212 0.9973 0.0000 0.0233 0.0070 0.1124 0.0090 0.1468
7.1000 5.9300 -2.7500 0.2759 0.0637 0.0216 1.0054 0.0000 0.0149 0.0070 0.0710 0.0091 0.0930
7.1000 5.7300 -2.7500 0.2800 0.0639 0.0217 1.0049 0.0000 0.0094 0.0071 0.0453 0.0092 0.0587
7.1000 5.5300 -2.7500 0.2798 0.0642 0.0218 1.0096 0.0000 0.0060 0.0071 0.0285 0.0092 0.0371
7.1000 5.3300 -2.7500 0.2797 0.0643 0.0219 1.0126 0.0000 0.0038 0.0070 0.0180 0.0092 0.0235
7.1000 5.1300 -2.7500 0.2795 0.0644 0.0220 1.0146 0.0000 0.0024 0.0070 0.0113 0.0092 0.0148
7.1000 4.9300 -2.7500 0.2795 0.0645 0.0221 1.0159 0.0000 0.0015 0.0070 0.0072 0.0092 0.0094
7.1000 6.1300 -2.5000 0.1754 0.0768 0.0300 1.2479 0.0000 0.0267 0.0042 0.0760 0.0052 0.1536
7.1000 5.9300 -2.5000 0.1769 0.0774 0.0305 1.2565 0.0000 0.0170 0.0042 0.0482 0.0052 0.0973
