#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.4 80000 -2.25 0.2800 2.5441 0.0463 0.0632 0.0187 0.0481 0.0399
7.4 90000 -2.25 0.2598 2.4240 0.0468 0.0579 0.0170 0.0437 0.0675
7.4 30000 -2.00 1.7722 0.6711 0.0645 0.0709 0.0191 0.0489 0.0000
7.4 32500 -2.00 1.4663 1.0839 0.0517 0.0762 0.0210 0.0539 0.0000
7.4 35000 -2.00 1.1718 1.4602 0.0442 0.0799 0.0214 0.0549 0.0000
7.4 37500 -2.00 0.9327 1.7745 0.0398 0.0825 0.0215 0.0552 0.0000
7.4 40000 -2.00 0.7520 2.0282 0.0370 0.0840 0.0215 0.0553 0.0000
7.4 45000 -2.00 0.5207 2.3953 0.0341 0.0846 0.0215 0.0553 0.0000
7.4 50000 -2.00 0.3934 2.6370 0.0331 0.0827 0.0213 0.0549 0.0021
7.4 55000 -2.00 0.3195 2.7980 0.0329 0.0791 0.0211 0.0543 0.0046
7.4 60000 -2.00 0.2744 2.9007 0.0331 0.0746 0.0207 0.0534 0.0088
7.4 70000 -2.00 0.2258 2.9684 0.0338 0.0655 0.0197 0.0506 0.0234
7.4 80000 -2.00 0.2020 2.8761 0.0344 0.0577 0.0181 0.0467 0.0472
7.4 90000 -2.00 0.1882 2.6542 0.0346 0.0514 0.0162 0.0417 0.0787
7.4 30000 -1.75 1.5184 1.0310 0.0441 0.0767 0.0204 0.0524 0.0000
7.4 32500 -1.75 1.1722 1.4954 0.0357 0.0816 0.0213 0.0547 0.0000
7.4 35000 -1.75 0.8937 1.8818 0.0313 0.0849 0.0214 0.0551 0.0000
7.4 37500 -1.75 0.6913 2.1904 0.0286 0.0868 0.0215 0.0553 0.0000
7.4 40000 -1.75 0.5487 2.4364 0.0270 0.0876 0.0215 0.0554 0.0000
7.4 45000 -1.75 0.3764 2.7964 0.0254 0.0862 0.0214 0.0553 0.0010
7.4 50000 -1.75 0.2853 3.0386 0.0250 0.0819 0.0212 0.0548 0.0027
7.4 55000 -1.75 0.2335 3.2011 0.0251 0.0761 0.0209 0.0540 0.0060
7.4 60000 -1.75 0.2020 3.2995 0.0254 0.0699 0.0205 0.0529 0.0113
7.4 70000 -1.75 0.1683 3.3213 0.0260 0.0588 0.0192 0.0496 0.0296
7.4 80000 -1.75 0.1517 3.1299 0.0264 0.0502 0.0174 0.0448 0.0585
7.4 90000 -1.75 0.1417 2.7753 0.0264 0.0438 0.0151 0.0390 0.0955
7.4 30000 -1.50 1.2163 1.4030 0.0300 0.0809 0.0211 0.0542 0.0000
7.4 32500 -1.50 0.8937 1.8725 0.0253 0.0852 0.0213 0.0549 0.0000
7.4 35000 -1.50 0.6634 2.2473 0.0227 0.0878 0.0214 0.0552 0.0000
7.4 37500 -1.50 0.5072 2.5454 0.0212 0.0889 0.0215 0.0554 0.0000
7.4 40000 -1.50 0.4015 2.7861 0.0203 0.0886 0.0215 0.0555 0.0000
7.4 45000 -1.50 0.2772 3.1480 0.0196 0.0845 0.0214 0.0553 0.0014
7.4 50000 -1.50 0.2127 3.3990 0.0196 0.0776 0.0211 0.0547 0.0037
7.4 55000 -1.50 0.1762 3.5650 0.0199 0.0700 0.0207 0.0537 0.0081
7.4 60000 -1.50 0.1541 3.6533 0.0202 0.0626 0.0202 0.0523 0.0152
7.4 70000 -1.50 0.1303 3.6012 0.0208 0.0507 0.0186 0.0481 0.0390
7.4 80000 -1.50 0.1185 3.2729 0.0211 0.0423 0.0164 0.0423 0.0749
7.4 90000 -1.50 0.1112 2.7536 0.0210 0.0362 0.0138 0.0355 0.1182
7.7 30000 -4.00 1.2275 0.0000 0.5003 0.0096 0.0108 0.0278 0.0000
7.7 32500 -4.00 1.3329 0.0013 0.5113 0.0126 0.0132 0.0340 0.0000
7.7 35000 -4.00 1.4255 0.0023 0.5190 0.0156 0.0153 0.0392 0.0000
7.7 37500 -4.00 1.5075 0.0039 0.5250 0.0186 0.0170 0.0435 0.0000
7.7 40000 -4.00 1.5788 0.0060 0.5301 0.0213 0.0183 0.0470 0.0000
7.7 45000 -4.00 1.6939 0.0118 0.5395 0.0262 0.0203 0.0520 0.0000
7.7 50000 -4.00 1.7791 0.0196 0.5498 0.0300 0.0216 0.0555 0.0000
7.7 55000 -4.00 1.8427 0.0289 0.5617 0.0329 0.0226 0.0579 0.0013
7.7 60000 -4.00 1.8898 0.0391 0.5751 0.0352 0.0233 0.0598 0.0026
7.7 70000 -4.00 1.9486 0.0597 0.6048 0.0380 0.0243 0.0623 0.0073
7.7 80000 -4.00 1.9814 0.0780 0.6355 0.0397 0.0248 0.0635 0.0155
