#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.7 37500 -3.74 1.7070 0.0116 0.4555 0.0286 0.0158 0.0405 0.0000
7.7 40000 -3.75 2.0179 0.0790 0.4443 0.0462 0.0216 0.0554 0.0000
7.7 45000 -3.75 2.1482 0.1230 0.4445 0.0535 0.0226 0.0579 0.0000
7.7 50000 -3.75 2.1652 0.1873 0.4625 0.0560 0.0232 0.0595 0.0000
7.7 55000 -3.75 2.2854 0.1491 0.4365 0.0613 0.0235 0.0603 0.0000
7.7 60000 -3.75 2.2493 0.2272 0.4926 0.0561 0.0235 0.0600 0.0000
7.7 30000 -3.51 0.9393 0.0000 0.3168 0.0084 0.0012 0.0031 0.0000
7.7 32500 -3.51 1.4392 0.0000 0.4192 0.0181 0.0041 0.0105 0.0000
7.7 35000 -3.51 1.8629 0.0064 0.4387 0.0324 0.0111 0.0284 0.0000
7.7 37500 -3.51 2.0624 0.0336 0.3999 0.0456 0.0180 0.0462 0.0000
7.7 40000 -3.51 2.2914 0.1569 0.3545 0.0641 0.0215 0.0550 0.0000
7.7 45000 -3.50 2.4220 0.2465 0.3373 0.0736 0.0222 0.0569 0.0000
7.7 50000 -3.50 2.3605 0.4215 0.3466 0.0770 0.0226 0.0579 0.0000
7.7 55000 -3.51 2.4413 0.4755 0.3387 0.0819 0.0230 0.0590 0.0000
7.7 60000 -3.50 2.2722 0.6866 0.3866 0.0773 0.0228 0.0582 0.0013
7.7 30000 -3.26 1.0608 0.0000 0.2950 0.0144 0.0012 0.0032 0.0000
7.7 32500 -3.27 1.6913 0.0018 0.3796 0.0299 0.0043 0.0110 0.0000
7.7 35000 -3.26 2.2033 0.0235 0.3729 0.0499 0.0116 0.0299 0.0000
7.7 37500 -3.26 2.3757 0.1221 0.3179 0.0658 0.0191 0.0489 0.0000
7.7 40000 -3.26 2.3926 0.4907 0.2652 0.0852 0.0216 0.0553 0.0000
7.7 45000 -3.25 2.4007 0.7363 0.2466 0.0952 0.0221 0.0566 0.0000
7.7 50000 -3.26 2.1513 1.0882 0.2547 0.0982 0.0224 0.0572 0.0000
7.7 55000 -3.26 2.1812 1.2339 0.2463 0.1035 0.0226 0.0579 0.0000
7.7 60000 -3.26 1.9079 1.5231 0.2887 0.0987 0.0223 0.0569 0.0015
7.7 30000 -3.02 1.1305 0.0000 0.2495 0.0225 0.0013 0.0034 0.0000
7.7 32500 -3.04 1.9199 0.0060 0.3168 0.0444 0.0045 0.0116 0.0000
7.7 35000 -3.02 2.3829 0.0473 0.2997 0.0634 0.0083 0.0213 0.0000
7.7 37500 -3.02 2.5264 0.3805 0.2355 0.0865 0.0199 0.0509 0.0000
7.7 40000 -3.01 2.1255 1.1694 0.1867 0.1053 0.0217 0.0554 0.0000
