#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
8.60 -1.000 -2.50 0.0726 0.0222 0.1726 0.0082 0.1461 0.5150 0.6121 0.9685 1.6903 0.3861 1.9531 0.0232 0.0070
8.60 -1.125 -2.50 0.0726 0.0222 0.1735 0.0082 0.1458 0.5172 0.6145 0.9714 1.6963 0.2906 1.9605 0.0174 0.0052
8.60 -1.250 -2.50 0.0725 0.0221 0.1741 0.0082 0.1456 0.5188 0.6162 0.9737 1.7008 0.2185 1.9661 0.0131 0.0039
8.60 -0.875 -2.75 0.0730 0.0223 0.0784 0.0082 0.2057 0.4228 0.5787 0.9198 1.2449 0.4142 1.4809 0.0466 0.0139
8.60 -1.000 -2.75 0.0729 0.0223 0.0790 0.0082 0.2056 0.4257 0.5823 0.9245 1.2522 0.3125 1.4903 0.0351 0.0105
8.60 -1.125 -2.75 0.0727 0.0222 0.0795 0.0082 0.2055 0.4280 0.5850 0.9280 1.2578 0.2354 1.4974 0.0264 0.0079
8.60 -0.750 -3.00 0.0735 0.0225 0.0316 0.0083 0.2698 0.3241 0.5197 0.8311 0.7734 0.3800 0.9354 0.0878 0.0263
8.60 -0.875 -3.00 0.0733 0.0224 0.0320 0.0083 0.2703 0.3277 0.5250 0.8381 0.7809 0.2880 0.9452 0.0664 0.0199
8.60 -1.000 -3.00 0.0731 0.0223 0.0323 0.0082 0.2707 0.3304 0.5291 0.8435 0.7865 0.2177 0.9525 0.0501 0.0150
8.60 -1.125 -3.00 0.0730 0.0223 0.0326 0.0082 0.2710 0.3324 0.5323 0.8477 0.7909 0.1643 0.9583 0.0377 0.0113
8.60 -1.250 -3.00 0.0729 0.0223 0.0328 0.0082 0.2712 0.3340 0.5346 0.8508 0.7942 0.1238 0.9625 0.0284 0.0085
8.70 -0.750 -2.50 0.0750 0.0230 0.1427 0.0085 0.2316 0.5203 0.7094 1.1429 1.7765 0.7737 2.0224 0.0522 0.0154
