#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
7.20 0.000 -1.75 0.0589 0.0175 0.1120 0.0064 0.0000 0.0410 0.0244 0.0331 0.1503 0.1958 0.1808 0.0033 0.0011
7.20 -0.125 -1.75 0.0586 0.0173 0.1119 0.0064 0.0000 0.0413 0.0247 0.0333 0.1517 0.1470 0.1823 0.0025 0.0018
7.20 -0.250 -1.75 0.0582 0.0172 0.1118 0.0063 0.0000 0.0415 0.0249 0.0336 0.1528 0.1103 0.1835 0.0019 0.0014
7.20 -0.375 -1.75 0.0579 0.0171 0.1116 0.0063 0.0000 0.0416 0.0251 0.0337 0.1538 0.0828 0.1845 0.0014 0.0011
7.20 -0.625 -1.75 0.0575 0.0169 0.1111 0.0062 0.0000 0.0418 0.0254 0.0340 0.1552 0.0466 0.1858 0.0019 0.0000
7.20 -0.750 -1.75 0.0573 0.0169 0.1109 0.0062 0.0000 0.0419 0.0255 0.0341 0.1557 0.0350 0.1863 0.0014 0.0000
7.20 -1.250 -1.75 0.0569 0.0167 0.1104 0.0062 0.0000 0.0420 0.0258 0.0343 0.1567 0.0111 0.1873 0.0000 0.0000
7.20 -1.375 -1.75 0.0569 0.0167 0.1103 0.0062 0.0000 0.0421 0.0258 0.0344 0.1568 0.0083 0.1874 0.0000 0.0000
7.20 -1.500 -1.75 0.0569 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1569 0.0062 0.1875 0.0000 0.0000
7.20 -1.625 -1.75 0.0568 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1570 0.0047 0.1875 0.0000 0.0000
7.20 -1.750 -1.75 0.0568 0.0167 0.1102 0.0061 0.0000 0.0421 0.0259 0.0344 0.1570 0.0035 0.1876 0.0000 0.0000
7.20 -1.875 -1.75 0.0568 0.0167 0.1101 0.0061 0.0000 0.0421 0.0259 0.0344 0.1571 0.0026 0.1876 0.0000 0.0000
